"id","relacionados","name","description","precio","imagen","categorias","linkPago","subcategorias","oferta"
5032,"5031","GORRO TEJIDO C/FORMA STITCH - ROSA","7730784169190 ""GORRO TEJIDO ESTAMPADO Y FORMA DE STITCH - COMPOSICIÓN: 100% POLIESTER - SE AJUSTA CON EL USO DIARIO.""","750.00","https://nuve-s3-dev.s3.amazonaws.com/media/public/product_images/GORRO_TEJIDO_C/FORMA_STITCH_-_ROSA_958b35c4-76e5-11f0-83ff-0242ac110002/958974a0-76e5-11f0-83ff-0242ac110002.jpg","Ropa",,Gorros,true
5031,"5032","GORRO TEJIDO C/FORMA STITCH AZUL","7730784153984 ""GORRO TEJIDO ESTAMPADO Y FORMA DE STITCH - COMPOSICIÓN: 100% POLIESTER - SE AJUSTA CON EL USO DIARIO.""","750.00","https://nuve-s3-dev.s3.amazonaws.com/media/public/product_images/GORRO_TEJIDO_C/FORMA_STITCH_AZUL_4c2bd258-76e5-11f0-a2c2-0242ac110002/4c2a3f92-76e5-11f0-a2c2-0242ac110002.jpg","Ropa",,Gorros,
5030,,"CUELLO POLAR STITCH CELESTE","7730784169350 CUELLO SUPER ABRIGADO. SE PUEDE UTILIZAR COMO GORRO. COMPOSICIÓN 100% POLIÉSTER. MEDIDAS: 60cm LARGO x 25cm DIAMETRO.","300.00","https://nuve-s3-dev.s3.amazonaws.com/media/public/product_images/CUELLO_POLAR_STITCH_CELESTE_f8ce595a-76e4-11f0-a695-0242ac110002/f8cc734c-76e4-11f0-a695-0242ac110002.jpg","Ropa",,,true
5029,,"TOALLA FELPA 70*115 V STITCH","7900033109684 TOALLA DE BAÑO INFANTIL CON ESTAMPADO DE STITCH - MEDIDA: 70x115cm - COMPOSICIÓN: 100% ALGODÓN - GRAMAJE: 335 g/m2 - SUAVE AL TACTO.","600.00","https://nuve-s3-dev.s3.amazonaws.com/media/public/product_images/TOALLA_FELPA_70*115_V_STITCH_bc04a78c-7490-11f0-a2c2-0242ac110002/bc02d830-7490-11f0-a2c2-0242ac110002.jpg","Baño",,,
5028,"5027","PLAYERA VELOUR 70*130 N STITCH MENTA","7730784168520 TOALLA DE BAÑO INFANTIL CON ESTAMPADO DE STITCH - MEDIDA: 70x130cm - COMPOSICIÓN: 100% ALGODÓN - GRAMAJE: 320 g/m2 - SUAVE AL TACTO.","825.00","https://nuve-s3-dev.s3.amazonaws.com/media/public/product_images/PLAYERA_VELOUR_70*130_N_STITCH_MENTA_0d4d4e56-7490-11f0-83ff-0242ac110002/0d4bb500-7490-11f0-83ff-0242ac110002.jpg","Baño",,,
5027,"5028","PLAYERA VELOUR 70*130 N STITCH","7900033109677 TOALLA DE BAÑO INFANTIL CON ESTAMPADO DE STITCH - MEDIDA: 70x130cm - COMPOSICIÓN: 100% ALGODÓN - GRAMAJE: 320 g/m2 - SUAVE AL TACTO.","825.00","https://nuve-s3-dev.s3.amazonaws.com/media/public/product_images/PLAYERA_VELOUR_70*130_N_STITCH_d11fb888-748f-11f0-a695-0242ac110002/d11e2e28-748f-11f0-a695-0242ac110002.jpg","Baño",,,
5026,"5025","CANTIMPLORA 510 ML STITCH","8412497750429 BOTELLA DE AGUA REUTILIZABLE DE PLÁSTICO - DISPONE DE UN PRÁCTICO SORBITO PARA FACILITAR SU USO Y TIENE TAPÓN CON BOTÓN QUE EVITARÁ DERRAMES Y SALPICADURAS ACCIDENTALES - CAPACIDAD: 510 ML - LIBRE DE BPA.","600.00","https://nuve-s3-dev.s3.amazonaws.com/media/public/product_images/CANTIMPLORA_510_ML_STITCH_2c2eb6ca-73c8-11f0-83ff-0242ac110002/2c2cbc12-73c8-11f0-83ff-0242ac110002.jpg","Infantil",,,
5025,"5026","CANTIMPLORA 465ML STITCH","8412497750221 PRÁCTICA CANTIMPLORA DE PLÁSTICO CON UN SORBITO, TAPA Y CORREA - CAPACIDAD: 465 ML - LIBRE DE BPA.","465.00","https://nuve-s3-dev.s3.amazonaws.com/media/public/product_images/CANTIMPLORA_465ML_STITCH_fc7c67ec-73c7-11f0-83ff-0242ac110002/fc7921b8-73c7-11f0-83ff-0242ac110002.jpg","Infantil",,,
5024,"5023","BOTELLA 410 ML STITCH","8412497750313 BOTELLA CON BOQUILLA CON SORBITO PARA BEBER. CUENTA CON UN AGARRE EN LA TAPA - CAPACIDAD: 410ml - MEDIDAS: 15cm ALTO x 6cm DIAMETRO.","450.00","https://nuve-s3-dev.s3.amazonaws.com/media/public/product_images/BOTELLA_410_ML_STITCH_d6adb610-73c7-11f0-83ff-0242ac110002/d6abe33a-73c7-11f0-83ff-0242ac110002.jpg","Infantil",,,
5023,"5024","BOTELLA 370 ML SCHOOL STITCH","8412497750108 RESISTENTE BOTELLA DE PLÁSTICO CON BOQUILLA Y TAPÓN DE SEGURIDAD QUE EVITARÁN SALPICADURAS Y DERRAMES ACCIDENTALES - CAPACIDAD: 370 ML - LIBRE DE BPA - FÁCIL LIMPIEZA.","397.50","https://nuve-s3-dev.s3.amazonaws.com/media/public/product_images/BOTELLA_370_ML_SCHOOL_STITCH_9c6102b4-73c7-11f0-83ff-0242ac110002/9c5eea24-73c7-11f0-83ff-0242ac110002.jpg","Infantil",,,
